rundate,this_period,last_period,group_name,airport_1_name,airport_2_name,total_pax_this_period,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,BELFAST CITY (GEORGE BEST),14338,14338,0,13710,13710,0,4.5806
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,BELFAST INTERNATIONAL,25546,25546,0,24321,24321,0,5.0368
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,BENBECULA,2451,2451,0,2079,2079,0,17.89322
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,BIRMINGHAM,19959,19816,143,20125,20044,81,-0.82484
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,BOURNEMOUTH,0,0,0,3718,3718,0,-100
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,BRISTOL,24916,24916,0,24592,24592,0,1.3175
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,CAMPBELTOWN,794,794,0,770,770,0,3.11688
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,CARDIFF WALES,3405,3405,0,2582,2541,41,31.87452
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,CITY OF DERRY (EGLINTON),7032,7032,0,6799,6799,0,3.42697
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,EAST MIDLANDS INTERNATIONAL,9545,9545,0,8384,8384,0,13.84781
23/12/2016 09:40,201610,201510,Other Reporting Airports,GLASGOW,EXETER,3308,3308,0,378,378,0,775.13228
